strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
Snowball,999,69,8764.52,39,0.302,0.0,True,800.2
Avalanche,999,69,7910.12,38,0.2999,0.0,True,800.5
NormalizedAvalanche,999,69,8177.61,38,0.2977,0.0,True,800.9
PPO,999,70,2071.23,10,0.2108,0.0,True,815.2
MinimumOnly,999,70,2143.36,10,0.2092,0.0,True,815.5
Snowball,999,70,2227.97,10,0.2342,0.0,True,811.3
Avalanche,999,70,2226.94,11,0.2192,0.0,True,813.8
NormalizedAvalanche,999,70,2172.24,10,0.2067,0.0,True,815.9
PPO,999,71,11112.03,45,0.2577,0.0,True,807.5
MinimumOnly,999,71,11474.83,45,0.2609,0.0,True,806.9
Snowball,999,71,11340.67,45,0.2613,0.0,True,806.9
Avalanche,999,71,11160.45,45,0.2612,0.0,True,806.9
NormalizedAvalanche,999,71,11422.71,45,0.2592,0.0,True,807.2
PPO,999,72,4759.64,22,0.1871,0.0,True,819.1
MinimumOnly,999,72,4982.88,22,0.1877,0.0,True,819.0
Snowball,999,72,5373.03,23,0.1877,0.0,True,819.0
Avalanche,999,72,4600.4,23,0.1799,0.0,True,820.3
NormalizedAvalanche,999,72,4785.9,22,0.1844,0.0,True,819.6
PPO,999,73,1458.63,12,0.298,0.0,True,800.8
MinimumOnly,999,73,1456.4,11,0.3164,0.0,True,797.8
Snowball,999,73,1422.82,11,0.3228,0.0,True,796.7
Avalanche,999,73,1422.82,11,0.3228,0.0,True,796.7
NormalizedAvalanche,999,73,1443.88,11,0.3067,0.0,True,799.4
PPO,999,74,2586.07,10,0.1776,0.0,True,820.7
MinimumOnly,999,74,2619.06,10,0.1776,0.0,True,820.7
Snowball,999,74,2832.04,11,0.1756,0.0,True,821.0
Avalanche,999,74,2575.77,11,0.166,0.0,True,822.6
NormalizedAvalanche,999,74,2521.79,10,0.174,0.0,True,821.3
PPO,999,75,855.89,8,0.1916,0.0,True,818.4
MinimumOnly,999,75,823.8,8,0.1936,0.0,True,818.1
Snowball,999,75,851.11,8,0.2094,0.0,True,815.4
Avalanche,999,75,851.11,8,0.2094,0.0,True,815.4
NormalizedAvalanche,999,75,841.97,7,0.2054,0.0,True,816.1
PPO,999,76,3502.5,13,0.1952,0.0,True,817.8
MinimumOnly,999,76,3501.81,13,0.1957,0.0,True,817.7
Snowball,999,76,3658.52,13,0.2072,0.0,True,815.8
Avalanche,999,76,3653.48,13,0.207,0.0,True,815.9
NormalizedAvalanche,999,76,3448.16,12,0.2077,0.0,True,815.7
PPO,999,77,1038.21,10,0.1659,0.0,True,822.6
MinimumOnly,999,77,1013.56,10,0.1628,0.0,True,823.1
Snowball,999,77,1040.33,10,0.1841,0.0,True,819.6
Avalanche,999,77,1040.33,10,0.1841,0.0,True,819.6
NormalizedAvalanche,999,77,1014.54,10,0.1608,0.0,True,823.5
PPO,999,78,5936.26,26,0.2084,0.0,True,815.6
MinimumOnly,999,78,6109.71,26,0.2077,0.0,True,815.7
Snowball,999,78,6320.61,26,0.2137,0.0,True,814.7
Avalanche,999,78,5990.21,26,0.2125,0.0,True,814.9
NormalizedAvalanche,999,78,6082.26,26,0.2066,0.0,True,815.9
PPO,999,79,563.96,7,0.1708,0.0,True,821.8
MinimumOnly,999,79,586.9,7,0.1746,0.0,True,821.2
Snowball,999,79,747.04,9,0.1804,0.0,True,820.2
Avalanche,999,79,573.39,8,0.1718,0.0,True,821.6
NormalizedAvalanche,999,79,557.73,7,0.1653,0.0,True,822.7
PPO,999,80,2170.08,11,0.2388,0.0,True,810.6
MinimumOnly,999,80,2127.91,11,0.224,0.0,True,813.0
Snowball,999,80,2260.59,11,0.2375,0.0,True,810.8
Avalanche,999,80,2124.72,11,0.2342,0.0,True,811.4
NormalizedAvalanche,999,80,2077.37,10,0.239,0.0,True,810.6
PPO,999,81,8503.37,32,0.2711,0.0,True,805.3
MinimumOnly,999,81,8847.35,31,0.2809,0.0,True,803.7
Snowball,999,81,9484.69,32,0.2805,0.0,True,803.7
Avalanche,999,81,8396.52,31,0.2814,0.0,True,803.6
NormalizedAvalanche,999,81,8668.44,31,0.2793,0.0,True,803.9
PPO,999,82,2052.45,14,0.2304,0.0,True,812.0
MinimumOnly,999,82,2153.16,13,0.24,0.0,True,810.4
Snowball,999,82,2484.27,15,0.2375,0.0,True,810.8
Avalanche,999,82,2207.46,15,0.2346,0.0,True,811.3
NormalizedAvalanche,999,82,2186.44,13,0.2387,0.0,True,810.6
PPO,999,83,3756.37,19,0.2285,0.0,True,812.3
MinimumOnly,999,83,3906.13,19,0.229,0.0,True,812.2
Snowball,999,83,4249.52,20,0.2266,0.0,True,812.6
Avalanche,999,83,3686.47,19,0.231,0.0,True,811.9
NormalizedAvalanche,999,83,3831.72,19,0.2284,0.0,True,812.3
PPO,999,84,1853.07,16,0.2932,0.0,True,801.6
